iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,population,ghg_total_mt
AUS,Australia,2023,19.92922,East Asia & Pacific,72272.7092136683,,100.0,0.0,26659922.0,0.5313114507208401
AUT,Austria,2023,7.523844,Europe & Central Asia,73544.6567230487,,100.0,0.0,9131761.0,0.06870594520928401
BEL,Belgium,2023,8.385736,Europe & Central Asia,71946.1447190292,,100.0,0.0,11779946.0,0.098783517250256
CAN,Canada,2023,17.65728,North America,64219.3173928637,,100.0,0.0,40083484.0,0.70776530036352
CZE,Czechia,2023,9.441118,Europe & Central Asia,55761.3798291375,,100.0,0.0,10864042.0,0.102568702478956
DNK,Denmark,2023,6.558307,Europe & Central Asia,77892.2932609904,,100.0,0.0,5946952.0,0.039001936930264006
EST,Estonia,2023,7.945063,Europe & Central Asia,48637.1802208795,,100.0,0.0,1370286.0,0.010887008598018
FIN,Finland,2023,7.329767,Europe & Central Asia,63414.9936878177,,100.0,0.0,5583911.0,0.04092876657873701
FRA,France,2023,5.653277,Europe & Central Asia,60838.9416716424,,100.0,0.0,68372286.0,0.386527471881222
DEU,Germany,2023,7.948367,Europe & Central Asia,71684.0311875583,,100.0,0.0,83287273.0,0.661997812233191
GRC,Greece,2023,7.022876,Europe & Central Asia,42710.5058010314,,100.0,0.0,10407351.0,0.073089535561476
HUN,Hungary,2023,5.607061,Europe & Central Asia,46592.3856070073,,100.0,0.0,9592186.0,0.053783972025345995
ISL,Iceland,2023,11.988,Europe & Central Asia,81608.4479116436,,100.0,0.0,385663.0,0.004623328044
IRL,Ireland,2023,10.57115,Europe & Central Asia,129682.607150517,,100.0,0.0,5311538.0,0.0561490649287
ISR,Israel,2023,8.432515,Middle East & North Africa,55171.2318814321,,100.0,0.0,9849000.0,0.083051840235
ITA,Italy,2023,6.451943,Europe & Central Asia,60029.871712398,,100.0,0.0,58984216.0,0.380562799531688
JPN,Japan,2023,8.596324,East Asia & Pacific,50661.7663463109,,100.0,0.0,124516650.0,1.0703854667945998
LVA,Latvia,2023,5.295873,Europe & Central Asia,42576.4060799457,,100.0,0.0,1883710.0,0.00997588892883
LTU,Lithuania,2023,6.254073,Europe & Central Asia,52348.2468215268,,100.0,0.0,2871585.0,0.017959102215705
LUX,Luxembourg,2023,11.68083,Europe & Central Asia,150508.218886888,,100.0,0.0,666430.0,0.007784455536899999
NLD,Netherlands,2023,7.85981,Europe & Central Asia,81728.6904629268,,100.0,0.0,17877117.0,0.14051074296777
NZL,New Zealand,2023,14.77261,East Asia & Pacific,54697.382252318,,100.0,0.0,5200000.0,0.076817572
NOR,Norway,2023,8.437336,Europe & Central Asia,103637.516843678,,100.0,0.0,5519601.0,0.046570728222936
POL,Poland,2023,8.979228,Europe & Central Asia,48473.0940286419,,100.0,0.0,36687353.0,0.32942410730348404
PRT,Portugal,2023,5.093018,Europe & Central Asia,49352.8388613032,,100.0,0.0,10578174.0,0.053874830589132
SVK,Slovak Republic,2023,6.537386,Europe & Central Asia,45973.9406902991,,100.0,0.0,5426740.0,0.03547669410164
SVN,Slovenia,2023,6.98851,Europe & Central Asia,56064.0974596742,,100.0,0.0,2120461.0,0.014818862903109999
ESP,Spain,2023,5.634706,Europe & Central Asia,55682.2402603093,,100.0,0.0,48352528.0,0.27245227963676805
SWE,Sweden,2023,4.206605,Europe & Central Asia,69226.3272756663,,100.0,0.0,10536632.0,0.04432344885436
CHE,Switzerland,2023,4.594231,Europe & Central Asia,95141.5960943632,,100.0,0.0,8888822.0,0.040837301585882
TUR,Türkiye,2023,6.862767,Europe & Central Asia,42786.2004948664,,100.0,0.0,85325965.0,0.585572216845155
GBR,United Kingdom,2023,5.613822,Europe & Central Asia,59911.3467663209,,100.0,0.0,68492000.0,0.38450189642399996
BLR,Belarus,2023,9.56043,Europe & Central Asia,30834.1773668111,,100.0,0.0,9178298.0,0.08774847554814
BGR,Bulgaria,2023,6.675433,Europe & Central Asia,38829.1913208102,,100.0,0.0,6446596.0,0.043033819676068
HRV,Croatia,2023,6.524332,Europe & Central Asia,47759.6982995339,,100.0,0.0,3859686.0,0.025181872879752
CYP,Cyprus,2023,6.317472,Europe & Central Asia,59874.5703125,,100.0,0.0,1344976.0,0.008496848220672001
KAZ,Kazakhstan,2023,17.01328,Europe & Central Asia,38515.1836009979,,100.0,0.0,20330104.0,0.3458817517811201
LIE,Liechtenstein,2023,4.22602,Europe & Central Asia,,,100.0,,39846.0,0.00016838999292
