"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Access to electricity, rural (% of rural population)","average_value_Access to electricity, urban (% of urban population)","average_value_Adjusted savings: energy depletion (% of GNI)","average_value_Adjusted savings: energy depletion (current US$)","average_value_Adjusted savings: mineral depletion (% of GNI)","average_value_Adjusted savings: mineral depletion (current US$)","average_value_Adjusted savings: natural resources depletion (% of GNI)","average_value_Alternative and nuclear energy (% of total energy use)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_Combustible renewables and waste (% of total energy)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Electricity production from oil, gas and coal sources (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (kWh)","average_value_Energy imports, net (% of energy use)","average_value_Energy intensity level of primary energy (MJ/$2011 PPP GDP)","average_value_Energy related methane emissions (% of total)","average_value_Energy use (kg of oil equivalent per capita)","average_value_Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","average_value_Firms using banks to finance investment (% of firms)","average_value_Fossil fuel energy consumption (% of total)","average_value_Fuel exports (% of merchandise exports)","average_value_Fuel imports (% of merchandise imports)","average_value_GDP per unit of energy use (PPP $ per kg of oil equivalent)","average_value_GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)","average_value_Investment in energy with private participation (current US$)","average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Mineral rents (% of GDP)","average_value_Natural gas rents (% of GDP)","average_value_Nitrous oxide emissions in energy sector (% of total)","average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Oil rents (% of GDP)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Pump price for diesel fuel (US$ per liter)","average_value_Pump price for gasoline (US$ per liter)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Time required to get electricity (days)","average_value_Time to obtain an electrical connection (days)","average_value_Total natural resources rents (% of GDP)","average_value_Value lost due to electrical outages (% of sales for affected firms)"
"Africa Eastern and Southern","AFE","1987","","","","1.34309551765634","","1.32235372170713","","4.12239916709401","2.10504952296956","0.0784769655573318","73479.5157227703","44.9429818757327","797.312091691949","5.94991191097433","75.6276932002784","11.005660761464","0","3.12990131039652","0.95617546112973","76.5838686614081","0.312127340018463","615000000","-16.6932783722058","","16.0440545831591","837.874406182033","","","52.9009288413475","","","","","","60362.0086010693","2.40944526176674","0.0008932913316511","2.15637695990232","5762.787847828","0.827376349514995","","","","","","","","","7.03279039657446",""
"Albania","ALB","2019","100","100","100","0.826981739960932","124687724.858979","0.0118297008861424","1783616.7571548","0.866396651580918","","","","","","","","","","","","","","","","","","","","21.5","","","","","","","","0.0253243204495948","0.0219985321692291","","","1.35354642713977","","","","","","","71","18.6","1.59173188825137","1.9"
"Albania","ALB","1977","","","","","70677019.4249762","","6867636.57880239","","8.14872719207006","12.2435897435897","2948.268","16.1545932419832","1067.81415577833","4.90434782608696","0","76.5217391304348","0","0","23.4782608695652","23.4782608695652","0","0","-37.4069647498638","","38.3639873481563","923.728867504315","","","75.8818779112211","","","","","","768.085390697438","","","3.71352760481272","37.40101237","","","","","","","","","","",""
"Armenia","ARM","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","","","","","","50200000","","","","","","","","","","","","","","6.5","","0.7"
"Azerbaijan","AZE","2013","100","100","100","18.5796325445826","13012565189.2064","0.0393691109957491","27572833.964505","18.6190016555784","0.660788427016893","63.5037018158649","11921.417","0.694879260297814","2092.53652062946","14.0489851845508","0","6.37578145071508","92.9648026034084","0","0.0770745910764751","93.0418771944849","0.295452599126488","69000000","-327.600377712539","3.71921133526089","","1474.00343280059","100.595999761024","24.4","98.2112327190642","92.9958093639825","1.31575581830222","11.6614012716391","9.94075313507103","","40700","0.0579827506327571","3.2050772233514","","70","23.7127986706928","0.487873494135214","1.39027062151071","","","6.67123404984157","2.52589988708496","97","3.6","26.9855511791027","1"
"Azerbaijan","AZE","2015","100","100","100","9.33683393587657","4766140385.34673","0.0555573324013734","28360153.7179378","9.39239126827794","","68.2333291886851","11609.722","","","","0","6.63075178224238","86.0823071937783","","6.50923525599482","92.5915424497732","0.409105638366818","101000000","","3.73014078315772","","","","","","88.461645963087","1.62893726408309","","","","38140","0.0731851344259889","2.41298510074134","","80","12.0679391061669","0.863908499916453","2.45220952894888","","","7.0398574206092","2.31220006942749","77","","14.5685957675747",""
"Burkina Faso","BFA","1993","6.1","2.11886320042586","29.4","0","0","0","0","2.64963903752755","","0","627.057","","","","","","","","","","","","","12.2513246186645","9.77835723598435","","","","","","","","","","750","0","0","2.69230769230769","140","0","","","","","21.8604651162791","93.4799927628475","","","7.6874316079629",""
"Bulgaria","BGR","1989","","","","0.100640347037736","21488391.4320095","0.973119540513367","207777240.561856","1.0737598875511","13.2389836319606","12.7166652574617","34623.814","0.596274859989211","4963.17888577321","10.5102869518138","38.2624977440895","6.07065511640498","18.6789388197076","32.8595921313842","4.12831618841364","61.0697527522108","0","0","66.6625707943264","","9.33774819778413","3426.94220506722","","","84.9239683151731","","","","","","1471.85322192753","2.1536208199058","0.0006615826426247","4.95915837370285","499.2508713766","0.0840875645178923","","","","","","","","","2.7295238175498",""
"Brunei Darussalam","BRN","1984","","","","","775218981.806581","","0","","0","57.17017208413","656.393","0.384799507870658","3290.9210912291","4.26666666666667","0","0","99.4666666666667","0","0.533333333333333","100","0","0","-864.833394692672","","86.4315628794198","7793.55199471986","","","99.6151416812615","99.9437254025714","1.59674116706832","","","","2986.1067796085","0","2.56985331961065","0.97399755192496","4.686821676","28.4971753094847","0.0221180558635155","1.29202338937974","","","","","","","31.2151583164064",""
"Central African Republic","CAF","1966","","","","","","","","","","0","84.341","","","","","","","","","","","","","","","","","","","0.170004293845778","5.60456347658273","","","","","","","","","","0.0000650385607123","1.17245936906564","","","","","","","",""
"Central African Republic","CAF","1992","","","","0","0","0.0045260321266996","63202.7702657801","0.0045260321266996","","0","216.353","","","","","","","","","","","","","12.8051429756796","44.6517412935323","","","","","","","","","","7180","0.0329789907749485","0","58.590978205778","11560","0","","","0.98","1.28","81.25","94.1078508994921","","","6.90406913636605",""
"Chile","CHL","1960","","","","","","","","","","0.679532481652623","6930.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","CHN","2014","100","100","100","1.18555521304368","124352886296.151","0.239363381134676","25106825047.2161","1.42491859417836","5.10701715020901","3.57637507655428","1264106.575","2.88335408767616","3927.04449998901","5.47126635596907","72.6339078091231","18.5524939791678","2.02100518113681","2.33928636039921","0.16797437936229","74.8228873696222","4.05665980378573","229840000000","15.0218007401139","7.10422000054532","","2236.72990756962","187.687033335641","","87.6704307681854","1.47061070335567","17.4581916753085","5.61076766078296","5.32801857553844","1647500000","723020","0.358821541111182","0.119906955939214","","47100","0.899303001957935","1.24906375146734","11.5069270526799","1.09","1.17","22.6091537829535","12.0614004135132","143.2","","2.31438790031315",""
"Cyprus","CYP","1974","","","","","0","","9864318.1123715","","0","0","1756.493","0.69141297741923","1043.09053714492","8.09327846364883","0","0","0","0","100","100","0","0","99.3085870225808","","2.83168197758452","924.771376350179","","","99.3084186726958","0.0333189153745545","12.8684068057818","","","","9.74480877356049","","","2.96759409372613","5.79360457","","18.5832991413855","1.39018650809082","","","","","","","",""
"Dominica","DMA","1962","","","","","","","","","","0","11.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","","","","","","0.0383439725656392","566033.761357938","","","0","2860.26","","","","","","","","","","","","","","14.8491928946047","","","","","","","","","","562.303296855734","0.666930707104093","","8.30154854522454","91.138251848","","","","","","","","","","0.728567422733497",""
"Algeria","DZA","2012","98.7646604654583","97.6737324903913","99.2567375886525","19.7665072556963","40550791969.9883","0.0145557941431273","29861066.1266842","19.8871252435846","0.0826770877537911","50.6702724257738","48580.416","0.0338734063998156","1237.96610942053","19.283237799885","0","1.08368033172465","97.0712755022039","0","1.8450441660714","98.9163196682753","0","0","-212.765931803021","3.89139397319131","","1229.54703039402","109.453296148188","","99.8589173711226","98.4004057063456","9.66062635935978","10.8196979779821","9.13631690585279","30300000","30020","0.142973435151667","3.59513144872142","","3230","26.1694891376893","0.246080038788387","1.56603775789824","0.17","0.29","1.08368033172465","0.180399999022484","158","","30.0401286090303",""
