iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
AUS,Australia,2017,22.74916,East Asia & Pacific,48482.6474614392,9.68610000610352,100.0,,4.685586327051401,0,0
AUT,Austria,2017,9.391686,Europe & Central Asia,54169.9639937065,33.959098815918,100.0,,4.733758546915618,0,0
BEL,Belgium,2017,10.25028,Europe & Central Asia,50442.2705419623,9.63799953460693,100.0,,4.702794627101117,0,0
CAN,Canada,2017,20.03908,North America,48317.0965785817,22.7698993682861,100.0,,4.68410082921851,0,0
CHL,Chile,2017,5.696826,Latin America & Caribbean,24470.7036236997,24.107400894165,99.7,,4.3886464571121815,0,1
COL,Colombia,2017,3.476127,Latin America & Caribbean,14171.3205005648,32.5289993286133,98.5,,4.151410320211381,0,1
CRI,Costa Rica,2017,3.16124,Latin America & Caribbean,20347.0347715842,36.2042007446289,99.6,,4.308501127262958,0,1
CZE,Czechia,2017,12.21656,Europe & Central Asia,38824.8879170919,14.4653997421265,100.0,,4.5891102106450585,0,0
DNK,Denmark,2017,8.648594,Europe & Central Asia,55356.680780178,35.5056991577148,100.0,,4.74317004167144,0,0
EST,Estonia,2017,15.76337,Europe & Central Asia,33856.1811147559,27.0333995819092,100.0,,4.529637969297921,0,0
FIN,Finland,2017,9.988059,Europe & Central Asia,47570.133583848,44.4765014648438,100.0,,4.677334370983631,0,0
FRA,France,2017,7.110206,Europe & Central Asia,44577.0645745394,14.1386003494263,100.0,,4.649111466543207,0,0
DEU,Germany,2017,10.616,Europe & Central Asia,52952.8750212389,15.2159004211426,100.0,,4.723889544650547,0,0
GRC,Greece,2017,8.950194,Europe & Central Asia,28645.0436174422,16.3834991455078,100.0,,4.457049487880798,0,0
HUN,Hungary,2017,6.664885,Europe & Central Asia,29465.1262413898,14.5065002441406,100.0,,4.469308306141214,0,0
ISL,Iceland,2017,14.21876,Europe & Central Asia,55638.4920591796,76.8330993652344,100.0,,4.745375351024325,0,0
IRL,Ireland,2017,12.87677,Europe & Central Asia,78655.6261932149,9.94279956817627,100.0,,4.895729792913239,0,0
ISR,Israel,2017,9.580019,Middle East & North Africa,38833.9734252986,3.84990000724792,100.0,,4.589211829083167,0,0
ITA,Italy,2017,7.159425,Europe & Central Asia,41581.120790548,16.4314994812012,100.0,,4.618896191262652,0,0
JPN,Japan,2017,9.992245,East Asia & Pacific,40966.5932189946,6.97450017929077,100.0,,4.612429849535044,0,0
KOR,Korea,2017,14.74389,East Asia & Pacific,40957.4180587145,2.84450006484985,100.0,,4.612332571058691,0,0
LVA,Latvia,2017,5.551417,Europe & Central Asia,28650.0077575999,42.598201751709,100.0,,4.457124743897907,0,1
LTU,Lithuania,2017,7.007361,Europe & Central Asia,33761.871239796,33.7784996032715,100.0,,4.528426509239054,0,0
LUX,Luxembourg,2017,17.24055,Europe & Central Asia,112308.17379315,15.328800201416,100.0,,5.0504113653806,0,0
MEX,Mexico,2017,6.142427,North America,19721.2609759241,9.53759956359863,100.0,,4.294934680249077,0,0
NLD,Netherlands,2017,11.09322,Europe & Central Asia,55088.6338006744,6.35620021820068,100.0,,4.741062001994204,0,0
NZL,New Zealand,2017,17.17259,East Asia & Pacific,42285.319902666,30.445499420166,100.0,,4.626189620523525,0,0
NOR,Norway,2017,9.982174,Europe & Central Asia,64050.7561654656,61.1110000610352,100.0,,4.806524261271191,0,0
POL,Poland,2017,10.66434,Europe & Central Asia,30064.5034841771,11.1876001358032,100.0,,4.4780540358594605,0,0
