iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct
AUS,Australia,2017,22.74916,East Asia & Pacific,48482.6474614392,9.68610000610352,100.0,
AUT,Austria,2017,9.391686,Europe & Central Asia,54169.9639937065,33.959098815918,100.0,
BEL,Belgium,2017,10.25028,Europe & Central Asia,50442.2705419623,9.63799953460693,100.0,
CAN,Canada,2017,20.03908,North America,48317.0965785817,22.7698993682861,100.0,
CHL,Chile,2017,5.696826,Latin America & Caribbean,24470.7036236997,24.107400894165,99.7,
COL,Colombia,2017,3.476127,Latin America & Caribbean,14171.3205005648,32.5289993286133,98.5,
CRI,Costa Rica,2017,3.16124,Latin America & Caribbean,20347.0347715842,36.2042007446289,99.6,
CZE,Czechia,2017,12.21656,Europe & Central Asia,38824.8879170919,14.4653997421265,100.0,
DNK,Denmark,2017,8.648594,Europe & Central Asia,55356.680780178,35.5056991577148,100.0,
EST,Estonia,2017,15.76337,Europe & Central Asia,33856.1811147559,27.0333995819092,100.0,
FIN,Finland,2017,9.988059,Europe & Central Asia,47570.133583848,44.4765014648438,100.0,
FRA,France,2017,7.110206,Europe & Central Asia,44577.0645745394,14.1386003494263,100.0,
DEU,Germany,2017,10.616,Europe & Central Asia,52952.8750212389,15.2159004211426,100.0,
GRC,Greece,2017,8.950194,Europe & Central Asia,28645.0436174422,16.3834991455078,100.0,
HUN,Hungary,2017,6.664885,Europe & Central Asia,29465.1262413898,14.5065002441406,100.0,
ISL,Iceland,2017,14.21876,Europe & Central Asia,55638.4920591796,76.8330993652344,100.0,
IRL,Ireland,2017,12.87677,Europe & Central Asia,78655.6261932149,9.94279956817627,100.0,
ISR,Israel,2017,9.580019,Middle East & North Africa,38833.9734252986,3.84990000724792,100.0,
ITA,Italy,2017,7.159425,Europe & Central Asia,41581.120790548,16.4314994812012,100.0,
JPN,Japan,2017,9.992245,East Asia & Pacific,40966.5932189946,6.97450017929077,100.0,
KOR,Korea,2017,14.74389,East Asia & Pacific,40957.4180587145,2.84450006484985,100.0,
LVA,Latvia,2017,5.551417,Europe & Central Asia,28650.0077575999,42.598201751709,100.0,
LTU,Lithuania,2017,7.007361,Europe & Central Asia,33761.871239796,33.7784996032715,100.0,
LUX,Luxembourg,2017,17.24055,Europe & Central Asia,112308.17379315,15.328800201416,100.0,
MEX,Mexico,2017,6.142427,North America,19721.2609759241,9.53759956359863,100.0,
NLD,Netherlands,2017,11.09322,Europe & Central Asia,55088.6338006744,6.35620021820068,100.0,
NZL,New Zealand,2017,17.17259,East Asia & Pacific,42285.319902666,30.445499420166,100.0,
NOR,Norway,2017,9.982174,Europe & Central Asia,64050.7561654656,61.1110000610352,100.0,
POL,Poland,2017,10.66434,Europe & Central Asia,30064.5034841771,11.1876001358032,100.0,
PRT,Portugal,2017,6.846301,Europe & Central Asia,33044.7167387479,24.4234008789063,100.0,
SVK,Slovak Republic,2017,7.744914,Europe & Central Asia,30077.8455329271,12.4337997436523,100.0,
SVN,Slovenia,2017,8.639655,Europe & Central Asia,36505.6772178798,19.6681995391846,100.0,
ESP,Spain,2017,7.111025,Europe & Central Asia,39528.9253872668,15.682900428772,100.0,
SWE,Sweden,2017,5.199349,Europe & Central Asia,51947.9542478244,52.8577003479004,100.0,
CHE,Switzerland,2017,5.731875,Europe & Central Asia,69103.570264696,25.0037994384766,100.0,
TUR,Türkiye,2017,6.407755,Europe & Central Asia,27913.8187158996,11.4029998779297,100.0,
GBR,United Kingdom,2017,7.134717,Europe & Central Asia,45744.7104907571,9.72060012817383,100.0,
USA,United States,2017,19.71985,North America,60109.6557260477,9.91909980773926,100.0,
DZA,Algeria,2017,5.087825,Middle East & North Africa,11737.4161588301,0.14360000193119,99.6151351928711,
ARG,Argentina,2017,7.752652,Latin America & Caribbean,23597.117752839,10.3684997558594,100.0,
BLR,Belarus,2017,9.421781,Europe & Central Asia,18280.1989190642,7.28859996795654,100.0,
BRA,Brazil,2017,5.765045,,14524.6135408175,45.4364013671875,99.8,
BRN,Brunei Darussalam,2017,25.98647,,60994.5315563275,0.0109000001102686,100.0,
BGR,Bulgaria,2017,8.421081,,21387.2766420381,17.0799999237061,100.0,
CIV,Côte d’Ivoire,2017,1.741144,,4830.75051522678,62.6884994506836,65.6,
HRV,Croatia,2017,6.318025,,26800.118975807,29.8036003112793,100.0,
CUB,Cuba,2017,4.84334,,,18.9501991271973,99.2386932373047,
CYP,Cyprus,2017,7.117575,,38050.8577356233,11.0761995315552,100.0,
EGY,Egypt,2017,3.436196,,11014.4864791744,4.85400009155273,100.0,
GEO,Georgia,2017,4.690071,,13589.7073915159,28.0333003997803,100.0,
GHA,Ghana,2017,1.265825,,4983.68885597284,44.8622016906738,79.0,
GTM,Guatemala,2017,1.852833,,8322.21680991504,65.0709991455078,93.3,
GNB,Guinea-Bissau,2017,0.7177915,,1925.23773659951,86.7991027832031,26.0,
GUY,Guyana,2017,6.172941,,12005.4051048003,22.1821994781494,90.3387451171875,
VAT,Holy See,2017,30.69888,,,,,
IDN,Indonesia,2017,3.26231,,10935.6317158256,25.4328002929688,98.14,
KAZ,Kazakhstan,2017,20.84414,,24862.9661245889,1.98730003833771,100.0,
KEN,Kenya,2017,1.201175,,4046.23477111755,71.3200988769531,56.0914306640625,
LIE,Liechtenstein,2017,5.090501,,,55.3255996704102,100.0,
MYS,Malaysia,2017,9.808034,,26661.5074160333,5.22349977493286,100.0,
MDV,Maldives,2017,3.957199,,18058.5810797009,1.25460004806519,99.8,
MLT,Malta,2017,4.311118,,42644.0508459903,7.25339984893799,100.0,
MUS,Mauritius,2017,4.435731,,21415.1161096211,9.42230033874512,99.61,
MDA,Moldova,2017,4.155583,,11651.3174546862,26.0611000061035,99.98,
MCO,Monaco,2017,2.212514,,,,100.0,
NAM,Namibia,2017,4.37755,,10171.4214929004,29.4083003997803,52.5,
NPL,Nepal,2017,1.670359,,3565.19780740052,76.4075012207031,89.9230804443359,
NGA,Nigeria,2017,1.497191,,5190.35612668836,82.649299621582,54.4,
PAN,Panama,2017,4.376703,,30446.8372293853,23.5802001953125,93.7,
