iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
AUS,Australia,2023,19.92922,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2023,7.523844,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2023,8.385736,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2023,17.65728,North America,-15.83,-3.32
CZE,Czechia,2023,9.441118,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2023,6.558307,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2023,7.945063,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2023,7.329767,Europe & Central Asia,-31.68,-3.399
FRA,France,2023,5.653277,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2023,7.948367,Europe & Central Asia,-27.61,-3.032
GRC,Greece,2023,7.022876,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2023,5.607061,Europe & Central Asia,-6.62,-0.398
ISL,Iceland,2023,11.988,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2023,10.57115,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2023,8.432515,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2023,6.451943,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2023,8.596324,East Asia & Pacific,-18.35,-1.932
LVA,Latvia,2023,5.295873,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2023,6.254073,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2023,11.68083,Europe & Central Asia,-39.89,-7.75
NLD,Netherlands,2023,7.85981,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2023,14.77261,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2023,8.437336,Europe & Central Asia,-19.28,-2.015
POL,Poland,2023,8.979228,Europe & Central Asia,-9.57,-0.95
PRT,Portugal,2023,5.093018,Europe & Central Asia,-16.21,-0.985
SVK,Slovak Republic,2023,6.537386,Europe & Central Asia,-10.69,-0.783
SVN,Slovenia,2023,6.98851,Europe & Central Asia,-13.66,-1.105
ESP,Spain,2023,5.634706,Europe & Central Asia,-17.83,-1.222
SWE,Sweden,2023,4.206605,Europe & Central Asia,-23.73,-1.309
CHE,Switzerland,2023,4.594231,Europe & Central Asia,-23.99,-1.45
TUR,Türkiye,2023,6.862767,Europe & Central Asia,14.43,0.866
GBR,United Kingdom,2023,5.613822,Europe & Central Asia,-31.67,-2.602
BLR,Belarus,2023,9.56043,Europe & Central Asia,-3.37,-0.333
BGR,Bulgaria,2023,6.675433,,-15.79,-1.252
HRV,Croatia,2023,6.524332,,13.3,0.766
CYP,Cyprus,2023,6.317472,,-8.21,-0.565
KAZ,Kazakhstan,2023,17.01328,,-17.1,-3.509
LIE,Liechtenstein,2023,4.22602,,-21.1,-1.13
MLT,Malta,2023,4.214103,,-35.66,-2.336
MCO,Monaco,2023,1.534798,,-34.6,-0.812
ROU,Romania,2023,5.432569,,-8.16,-0.482
RUS,Russia,2023,14.32121,,4.84,0.662
SRB,Serbia,2023,9.169923,,20.37,1.552
UKR,Ukraine,2023,6.171138,,-23.14,-1.858
AUS,Australia,2017,22.74916,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2017,9.391686,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2017,10.25028,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2017,20.03908,North America,-15.83,-3.32
CHL,Chile,2017,5.696826,Latin America & Caribbean,,
COL,Colombia,2017,3.476127,Latin America & Caribbean,,
CRI,Costa Rica,2017,3.16124,Latin America & Caribbean,,
CZE,Czechia,2017,12.21656,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2017,8.648594,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2017,15.76337,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2017,9.988059,Europe & Central Asia,-31.68,-3.399
FRA,France,2017,7.110206,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2017,10.616,Europe & Central Asia,-27.61,-3.032
GRC,Greece,2017,8.950194,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2017,6.664885,Europe & Central Asia,-6.62,-0.398
ISL,Iceland,2017,14.21876,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2017,12.87677,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2017,9.580019,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2017,7.159425,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2017,9.992245,East Asia & Pacific,-18.35,-1.932
KOR,Korea,2017,14.74389,East Asia & Pacific,,
LVA,Latvia,2017,5.551417,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2017,7.007361,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2017,17.24055,Europe & Central Asia,-39.89,-7.75
MEX,Mexico,2017,6.142427,North America,,
NLD,Netherlands,2017,11.09322,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2017,17.17259,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2017,9.982174,Europe & Central Asia,-19.28,-2.015
POL,Poland,2017,10.66434,Europe & Central Asia,-9.57,-0.95
